,,,,,,,,,,,,,
LISTADO DE RECURSOS DE GENERACIÓN,,,,,,,,,,,,,
,,,,,,,,,,,,,
Código SIC,Nombre Recurso,Capacidad Efectiva Neta [MW],Factor de Conversión,Es Menor,Tipo Despacho,Combustible por Defecto,Fecha Operación,Municipio,Departamento,Agente Representante,Estado Recurso,Tipo Generación,Clasificación
BSQ1,EL BOSQUE,2,0,SI,ND,AGUA,01/01/35,ARMENIA,QUINDÍO,ENERGIA RENOVABLE DE COLOMBIA S.A. E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
ABJ1,LA CASCADA ( ABEJORRAL),3,0,SI,ND,AGUA,09/17/07,ABEJORRAL,ANTIOQUIA,EMPRESA DE GENERACION Y PROMOCION DE ENERGIA DE ANTIOQUIA S.A. E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
LCS1,LA CASCADA (ANTIOQUIA),2,0.001,SI,ND,AGUA,07/17/07,SAN ROQUE,ANTIOQUIA,VATIA S.A. E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
SNT1,SANTA ANA,8,0,SI,ND,AGUA,06/09/05,UBALA,CUNDINAMARCA,ENEL COLOMBIA SA ESP,OPERACIÓN,HIDRAULICA,NORMAL
SJOG,SAN JOSE,0,0.0001,SI,ND,AGUA,11/16/03,PENSILVANIA,CALDAS,FUENTES DE ENERGIAS RENOVABLES S.A.S. E.S.P.,OPERACIÓN,HIDRAULICA,GEN. DISTRIBUIDA
LPLO,RIO PALO,1,0,SI,ND,AGUA,01/01/60,CALOTO,CAUCA,VATIA S.A. E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
MNC1,MUNICIPAL,1,0,SI,ND,AGUA,01/01/35,MANIZALES,CALDAS,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
RBB1,RIO BOBO,4,0,SI,ND,AGUA,01/01/60,SANTA ROSA,CAUCA,CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
RNG1,RIONEGRO,10,0,SI,ND,AGUA,01/01/75,PUERTO SALGAR,CUNDINAMARCA,ESPACIO PRODUCTIVO S.A.S. E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
RGR1,RIO GRANDE,0,0,SI,ND,AGUA,12/01/07,DON MATIAS,ANTIOQUIA,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,OPERACIÓN,HIDRAULICA,GEN. DISTRIBUIDA
RMR1,RUMOR,3,0.34,SI,ND,AGUA,01/01/99,TULUA,VALLE DEL CAUCA,COMPAÑIA DE ELECTRICIDAD DE TULUA S.A. E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
PGUG,PAGUA,600,16.0306,NO,DC,AGUA,12/01/86,LA MESA,CUNDINAMARCA,ENEL COLOMBIA SA ESP,OPERACIÓN,HIDRAULICA,NORMAL
GTRG,GUATRON,512,8.896,NO,DC,AGUA,01/01/66,GOMEZ PLATA,ANTIOQUIA,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
ALBG,ALBAN,427,4.1754,NO,DC,AGUA,12/15/00,BUENAVENTURA,VALLE DEL CAUCA,CELSIA COLOMBIA S.A. E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
RFR1,RIO FRIO I,2,0,SI,ND,AGUA,01/01/54,RIOFRIO,VALLE DEL CAUCA,COMPAÑIA DE ELECTRICIDAD DE TULUA S.A. E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
RCL1,RIO CALI,2,0,SI,ND,AGUA,01/01/25,CALI,VALLE DEL CAUCA,CELSIA COLOMBIA S.A. E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
VNTB,VENTANA B,3,0,SI,ND,AGUA,11/01/57,CHICORAL,TOLIMA,HIDROTOLIMA S.A. E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
VNTA,VENTANA A,3,0,SI,ND,AGUA,11/01/57,CHICORAL,TOLIMA,HIDROTOLIMA S.A. E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
RPD1,RIO PIEDRAS,20,1,SI,ND,AGUA,03/31/00,JERICO,ANTIOQUIA,CELSIA COLOMBIA S.A. E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
PLM1,PALMAS SAN GIL,15,0,SI,ND,AGUA,01/01/54,SAN GIL,SANTANDER,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
ZRG1,ZARAGOZA,1,0,SI,ND,AGUA,01/01/32,BUCARAMANGA,SANTANDER,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,INACTIVO,HIDRAULICA,NORMAL
PJR1,PAJARITO,13,1.8726,SI,ND,AGUA,11/25/99,YARUMAL,ANTIOQUIA,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
CSC1,CASCADA,3,0,SI,ND,AGUA,01/01/54,BUCARAMANGA,SANTANDER,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
RCIO,RIO RECIO,1,0,SI,ND,AGUA,11/01/58,LERIDA,TOLIMA,HIDROTOLIMA S.A. E.S.P.,OPERACIÓN,HIDRAULICA,GEN. DISTRIBUIDA
RFR2,RIO FRIO II,10,0,SI,ND,AGUA,01/01/96,RIOFRIO,VALLE DEL CAUCA,COMPAÑIA DE ELECTRICIDAD DE TULUA S.A. E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
RBJ1,RIO ABAJO,1,0,SI,ND,AGUA,01/01/47,SAN VICENTE,ANTIOQUIA,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,INACTIVO,HIDRAULICA,NORMAL
JBV1,JULIO BRAVO,2,0,SI,ND,AGUA,01/01/42,PASTO,NARIÑO,CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
PTA1,LA PITA,1,0,SI,ND,AGUA,01/01/65,GARZON,HUILA,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
IQU2,IQUIRA II,1,0,SI,ND,AGUA,01/01/65,IQUIRA,HUILA,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
IQU1,IQUIRA I,4,0,SI,ND,AGUA,01/01/55,IQUIRA,HUILA,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
SLV1,SILVIA,0,0,SI,ND,AGUA,01/01/94,SILVIA,CAUCA,VATIA S.A. E.S.P.,OPERACIÓN,HIDRAULICA,GEN. DISTRIBUIDA
SJN1,SAJANDI,3,0,SI,ND,AGUA,01/01/95,PATIA (EL BORDO),CAUCA,VATIA S.A. E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
RIN1,RIO INGENIO,0,0,SI,ND,AGUA,01/01/58,SANDONA,NARIÑO,CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,INACTIVO,HIDRAULICA,NORMAL
NTB1,NUTIBARA,1,1.125,SI,ND,AGUA,01/01/97,MEDELLÍN,ANTIOQUIA,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,OPERACIÓN,HIDRAULICA,GEN. DISTRIBUIDA
MIR1,MIROLINDO,4,0,SI,ND,AGUA,11/03/04,IBAGUE,TOLIMA,HIDROTOLIMA S.A. E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
INZ1,INZA,1,0,SI,ND,AGUA,02/05/09,INZA,CAUCA,VATIA S.A. E.S.P.,OPERACIÓN,HIDRAULICA,GEN. DISTRIBUIDA
ASN1,ASNAZU,0,0,SI,ND,AGUA,01/01/34,SUAREZ,CAUCA,VATIA S.A. E.S.P.,OPERACIÓN,HIDRAULICA,GEN. DISTRIBUIDA
UNN1,UNION,1,0.001,SI,ND,AGUA,01/01/35,CALARCA,QUINDÍO,EMPRESAS PUBLICAS DE CALARCA ESP,OPERACIÓN,HIDRAULICA,GEN. DISTRIBUIDA
CPT1,CAMPESTRE (CALARCA),1,0.001,SI,ND,AGUA,01/01/56,CALARCA,QUINDÍO,EMPRESAS PUBLICAS DE CALARCA ESP,OPERACIÓN,HIDRAULICA,NORMAL
BYN1,BAYONA,1,0.001,SI,ND,AGUA,01/01/43,CALARCA,QUINDÍO,EMPRESAS PUBLICAS DE CALARCA ESP,OPERACIÓN,HIDRAULICA,GEN. DISTRIBUIDA
NQU1,NIQUIA,19,3.276,SI,ND,AGUA,06/28/93,BELLO,ANTIOQUIA,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
BLM1,BELMONTE,3,0,SI,ND,AGUA,01/01/39,PEREIRA,RISARALDA,EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
SNC1,SAN CANCIO,2,0,SI,ND,AGUA,01/01/29,MANIZALES,CALDAS,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
MND1,MONDOMO,1,0,SI,ND,AGUA,01/01/58,SANTANDER DE QUILICHAO,CAUCA,VATIA S.A. E.S.P.,OPERACIÓN,HIDRAULICA,GEN. DISTRIBUIDA
INT1,INTERMEDIA,1,0,SI,ND,AGUA,01/01/74,MANIZALES,CALDAS,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,OPERACIÓN,HIDRAULICA,GEN. DISTRIBUIDA
GCC1,GUACAICA,1,0,SI,ND,AGUA,01/01/92,NEIRA,CALDAS,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,OPERACIÓN,HIDRAULICA,GEN. DISTRIBUIDA
TQD1,TEQUENDAMA,19,0,SI,ND,AGUA,04/10/04,SAN ANTONIODE TENA,CUNDINAMARCA,ENEL COLOMBIA SA ESP,INACTIVO,HIDRAULICA,NORMAL
JNC1,LA JUNCA,19,0,SI,ND,AGUA,01/01/05,LA MESA,CUNDINAMARCA,ENEL COLOMBIA SA ESP,INACTIVO,HIDRAULICA,NORMAL
TIN1,LA TINTA,19,0,SI,ND,AGUA,12/06/03,LA MESA,CUNDINAMARCA,ENEL COLOMBIA SA ESP,INACTIVO,HIDRAULICA,NORMAL
LMR1,EL LIMONAR,18,0,SI,ND,AGUA,12/06/03,SAN ANTONIODE TENA,CUNDINAMARCA,ENEL COLOMBIA SA ESP,OPERACIÓN,HIDRAULICA,NORMAL
CQT1,CHARQUITO,19,1.1483,SI,ND,AGUA,08/22/03,SOACHA,CUNDINAMARCA,ENEL COLOMBIA SA ESP,OPERACIÓN,HIDRAULICA,NORMAL
SUV1,SUEVA 2,6,0,SI,ND,AGUA,05/24/02,JUNIN,CUNDINAMARCA,CEMEX ENERGY S.A.S E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
TMS1,RIOFRIO (TAMESIS),1,0,SI,ND,AGUA,01/01/51,TAMESIS,ANTIOQUIA,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,OPERACIÓN,HIDRAULICA,GEN. DISTRIBUIDA
PTG1,PUENTE GUILLERMO,4,0,SI,ND,AGUA,09/01/01,PUENTE NACIONAL,SANTANDER,ENERCO S.A. E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
AMF1,AMALFI,1,0,SI,ND,AGUA,08/05/07,AMALFI,ANTIOQUIA,HZ ENERGY S.A.S. E.S.P.,OPERACIÓN,HIDRAULICA,GEN. DISTRIBUIDA
SJM1,SAN JOSE DE LA MONTAÑA,0,0,SI,ND,AGUA,07/30/07,S. JOSELA MONTA,ANTIOQUIA,EMPRESA DE GENERACION Y PROMOCION DE ENERGIA DE ANTIOQUIA S.A. E.S.P.,OPERACIÓN,HIDRAULICA,GEN. DISTRIBUIDA
SNFR,SAN FRANCISCO,135,1.5781,NO,DC,AGUA,01/01/69,CHINCHINA,CALDAS,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,OPERACIÓN,HIDRAULICA,FILO DE AGUA
SNCR,SAN CARLOS,1240,5.3679,NO,DC,AGUA,01/20/84,SAN CARLOS,ANTIOQUIA,ISAGEN S.A. E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
SLVJ,SALVAJINA,315,0.8634,NO,DC,AGUA,07/20/95,SUAREZ,CAUCA,CELSIA COLOMBIA S.A. E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
PBL1,PIEDRAS BLANCAS,5,0,SI,ND,AGUA,01/01/00,MEDELLÍN,ANTIOQUIA,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,INACTIVO,HIDRAULICA,NORMAL
SNS1,SONSON,19,0,SI,ND,AGUA,06/01/02,SONSON,ANTIOQUIA,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
RGRN,RIOGRANDE I,19,2.9147,SI,ND,AGUA,01/01/56,DON MATIAS,ANTIOQUIA,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
RMYO,RIO MAYO,20,1.7,SI,ND,AGUA,07/20/95,SAN PABLO,NARIÑO,CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
PRDO,PRADO,51,0.4941,NO,DC,AGUA,03/01/73,PRADO,TOLIMA,CELSIA COLOMBIA S.A. E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
PLYS,PLAYAS,207,1.7319,NO,DC,AGUA,08/01/88,SAN CARLOS,ANTIOQUIA,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
SPY1,RIO SAPUYES,2,0,SI,ND,AGUA,01/01/54,TUQUERRES,NARIÑO,CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
PMR1,REMEDIOS,1,0,SI,ND,AGUA,09/19/07,REMEDIOS,ANTIOQUIA,COMPAÑÍA INTEGRAL ENERGETICA S.A.S E.S.P,OPERACIÓN,HIDRAULICA,GEN. DISTRIBUIDA
CRC1,CARACOLI,4,0.8011,SI,ND,AGUA,01/01/35,CARACOLI,ANTIOQUIA,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
VLT1,LA VUELTA,12,0,SI,ND,AGUA,11/22/04,CANASGORDAS,ANTIOQUIA,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
LTSJ,LA TASAJERA,306,7.8396,NO,DC,AGUA,05/20/94,GIRARDOTA,ANTIOQUIA,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
JAGS,JAGUAS,170,2.3764,NO,DC,AGUA,07/01/88,SAN RAFAEL,ANTIOQUIA,ISAGEN S.A. E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
HRD1,LA HERRADURA,20,0.0001,SI,ND,AGUA,09/03/04,CANASGORDAS,ANTIOQUIA,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
GVIO,GUAVIO,1250,9.8471,NO,DC,AGUA,03/19/93,UBALA,CUNDINAMARCA,ENEL COLOMBIA SA ESP,OPERACIÓN,HIDRAULICA,NORMAL
GTPE,GUATAPE,560,7.1335,NO,DC,AGUA,01/01/72,GUATAPÉ,ANTIOQUIA,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
CMN1,AUTOG CEMENTOS DEL NARE,9,0,NO,ND,AGUA,09/01/04,PTO NARE,ANTIOQUIA,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,OPERACIÓN,HIDRAULICA,AUTOGENERADOR
PST1,PASTALES,1,0,SI,ND,AGUA,02/18/04,PASTALES,TOLIMA,HIDROTOLIMA S.A. E.S.P.,OPERACIÓN,HIDRAULICA,GEN. DISTRIBUIDA
FLRD,FLORIDA,20,0.8333,SI,ND,AGUA,01/01/75,POPAYAN,CAUCA,VATIA S.A. E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
OVJ1,OVEJAS,1,0,SI,ND,AGUA,01/01/39,BUENOS AIRES,CAUCA,VATIA S.A. E.S.P.,OPERACIÓN,HIDRAULICA,GEN. DISTRIBUIDA
ESMR,ESMERALDA,30,1.3135,NO,DC,AGUA,01/01/63,CHINCHINA,CALDAS,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,OPERACIÓN,HIDRAULICA,FILO DE AGUA
LBR1,NUEVO LIBARE,5,0,SI,ND,AGUA,01/01/94,DOS QUEBRADAS,RISARALDA,EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
NIM1,NIMA,7,0,SI,ND,AGUA,01/01/42,CALI,VALLE DEL CAUCA,CELSIA COLOMBIA S.A. E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
MNT1,MANANTIALES,3,0.633,SI,ND,AGUA,01/01/92,MEDELLÍN,ANTIOQUIA,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
CMP2,CAMPESTRE (EPM),1,0.875,SI,ND,AGUA,01/01/97,MEDELLÍN,ANTIOQUIA,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
CHVR,CHIVOR,1000,6.9482,NO,DC,AGUA,05/23/77,SANTA MARIA,BOYACÁ,AES COLOMBIA & CIA. S.C.A. E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
BLL3,BELLO,0,1,SI,ND,AGUA,01/01/97,BELLO,ANTIOQUIA,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
AYR1,AUTOG AYURA,17,2.437,SI,ND,AGUA,10/26/83,ENVIGADO,ANTIOQUIA,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,OPERACIÓN,HIDRAULICA,AUTOGENERADOR
CLMG,CALIMA,132,1.8558,NO,DC,AGUA,01/01/67,CALIMA (DARIEN),VALLE DEL CAUCA,CELSIA COLOMBIA S.A. E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
AMR1,AMERICA,0,0,SI,ND,AGUA,01/01/97,MEDELLÍN,ANTIOQUIA,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,OPERACIÓN,HIDRAULICA,GEN. DISTRIBUIDA
CHBG,BETANIA,540,0.5896,NO,DC,AGUA,11/01/87,YAGUARA,HUILA,ENEL COLOMBIA SA ESP,OPERACIÓN,HIDRAULICA,NORMAL
JPR1,JEPIRACHI 1 - 15,18,0,SI,ND,VIENTO,04/27/04,URIBIA,LA GUAJIRA,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,OPERACIÓN,EOLICA,NORMAL
3AL8,INGENIO MARIA LUISA,2,0,NO,ND,BAGAZO,01/31/21,FLORIDA,VALLE DEL CAUCA,DEPI ENERGY S.A.S. E.S.P.,INACTIVO,COGENERADOR,COGENERADOR
2UP2,COGENERADOR MANUELITA 2,12,0.00001,NO,ND,BAGAZO,06/22/18,PALMIRA,VALLE DEL CAUCA,CELSIA COLOMBIA S.A. E.S.P.,OPERACIÓN,COGENERADOR,COGENERADOR
2SXQ,BIOENERGY,20,0,NO,ND,BAGAZO,04/22/17,PUERTO LOPEZ,META,AES COLOMBIA & CIA. S.C.A. E.S.P.,OPERACIÓN,COGENERADOR,COGENERADOR
2SXS,COGENERADOR PROENCA II,17,0.1,NO,ND,CARBON,03/25/17,CALOTO,CAUCA,PROYECTOS ENERGETICOS DEL CAUCA S.A. E.S.P.,INACTIVO,COGENERADOR,COGENERADOR
MAN1,INGENIO MANUELITA,4,0,NO,ND,BAGAZO,03/17/16,CALI,VALLE DEL CAUCA,CELSIA COLOMBIA S.A. E.S.P.,INACTIVO,COGENERADOR,COGENERADOR
PNC1,COGENERADOR PROENCA,20,0,NO,ND,CARBON,04/29/14,CALOTO,CAUCA,PROYECTOS ENERGETICOS DEL CAUCA S.A. E.S.P.,OPERACIÓN,COGENERADOR,COGENERADOR
CIS1,INGENIO SAN CARLOS 1,2,29.26,NO,ND,BAGAZO,07/23/11,TULUA,VALLE DEL CAUCA,CELSIA COLOMBIA S.A. E.S.P.,OPERACIÓN,COGENERADOR,COGENERADOR
PIC1,INGENIO PICHICHI 1,0,0,NO,ND,BAGAZO,01/26/10,GUACARI,VALLE DEL CAUCA,EMPRESA MUNICIPAL DE ENERGIA ELECTRICA S.A. E.S.P.,OPERACIÓN,COGENERADOR,COGENERADOR
CGM1,MAYAGUEZ 1,20,0,NO,ND,CARBON,08/17/10,CANDELARIA,VALLE DEL CAUCA,CELSIA COLOMBIA S.A. E.S.P.,OPERACIÓN,COGENERADOR,COGENERADOR
ILC1,INGENIO LA CARMELITA,0,0,NO,ND,BAGAZO,11/11/09,TULUA,VALLE DEL CAUCA,DEPI ENERGY S.A.S. E.S.P.,INACTIVO,COGENERADOR,COGENERADOR
CIP1,INGENIO PROVIDENCIA 2,20,0,NO,ND,CARBON,05/18/09,EL CERRITO,VALLE DEL CAUCA,NITRO ENERGY COLOMBIA S.A.S. E.S.P.,OPERACIÓN,COGENERADOR,COGENERADOR
PPN1,PAPELES NACIONALES,0,0,NO,ND,GAS,02/05/09,PEREIRA,RISARALDA,ENERCO S.A. E.S.P.,OPERACIÓN,COGENERADOR,COGENERADOR
CLTJ,COGENERADOR COLTEJER 1,9,0,NO,ND,CARBON,12/19/13,ITAGUI,ANTIOQUIA,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,INACTIVO,COGENERADOR,COGENERADOR
CTMO,CENTRAL TUMACO 1,0,0,NO,ND,BAGAZO,03/25/07,CALIMA (DARIEN),VALLE DEL CAUCA,CELSIA COLOMBIA S.A. E.S.P.,INACTIVO,COGENERADOR,COGENERADOR
RPL1,INGENIO RIOPAILA 1,16,0,NO,ND,BAGAZO,05/21/18,ZARZAL,VALLE DEL CAUCA,RIOPAILA ENERGÍA S.A.S. E.S.P.,OPERACIÓN,COGENERADOR,COGENERADOR
CAS1,CENTRAL CASTILLA 1,3,0,NO,ND,BAGAZO,08/15/04,PRADERA,VALLE DEL CAUCA,RIOPAILA ENERGÍA S.A.S. E.S.P.,OPERACIÓN,COGENERADOR,COGENERADOR
IRG1,INGENIO RISARALDA 1,20,0,NO,ND,BAGAZO,08/15/03,BALBOA,RISARALDA,EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.,OPERACIÓN,COGENERADOR,COGENERADOR
PNC1,COGENERADOR PROENCA 1,4,0,NO,ND,CARBON,01/01/99,CALOTO,CAUCA,PROYECTOS ENERGETICOS DEL CAUCA S.A. E.S.P.,INACTIVO,COGENERADOR,COGENERADOR
INC1,INCAUCA 1,60,0,NO,ND,BAGAZO,10/21/98,MIRANDA,CAUCA,NITRO ENERGY COLOMBIA S.A.S. E.S.P.,OPERACIÓN,COGENERADOR,COGENERADOR
BIOE,COGENERADOR BIOAISE 1,1,0,NO,ND,GAS,08/01/98,CARTAGENA,BOLÍVAR,BIOAISE S.A.,INACTIVO,COGENERADOR,COGENERADOR
